Story,Works with,No. of Actions,Author
Analyze VSCode extensions seen by Fleet with ExtensionTotal,", ",7,
Turn on Christmas lights with VeSync and celebrate with Spotify,", ",11,
Retrieve IBM HCL Appscan results and document in Tines Case Management,,9,
Use a Tines Page to analyze known vulnerabilities from Tenable,", , ",12,
Query Shodan for findings and alert on them using Slack and Jira,", , , ",11,
Close Jira tickets if JupiterOne vulnerabilities are resolved,", ",17,
"Create, update & store an email distribution list in Tines",,14,Aaron Sandow
Execute Python code,,4,
Enrich clicked URLs from Proofpoint and block with Zscaler,", , , , ",13,Michael Tolan
Monitor Okta for invalid sign-in attempts and resolve via Slack,", , ",14,
Check if an email address is approved or not,,7,
Query Snowflake via Slack and return results as CSV,", ",12,Michael Tolan
Retrieve alerts from Microsoft Defender for Cloud and create detailed issue in Jira,", , ",20,Michael Tolan
Retrieve AWS Cost Explorer data and email a CSV report,,15,Michael Tolan
"Gather & enrich evidence between Analyst1, Sublime Security, and Drata",", , ",48,
Create email filters for a user in Gmail,", ",8,Conor Dunne
Triage phishing alerts with Sublime,", ",16,
"Investigate a URL with URLScan, create a ticket in Jira and take action",", , , , , ",41,
Send notifications for updates in a Notion database,,11,
Find missing devices in CrowdStrike,,10,Conor Dunne
Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,", , , ",34,
Authenticate and execute various actions in Akamai,,14,
Search Shodan using Shodan Query Language,,8,Michael Tolan
Create an identity federation between GCP and AWS,", ",5,Marcus Hallberg at Spotify
Manage shift turnover with Handogotchi,", ",41,Valentine Mairet
Review apps in Lumos for inactive approvers and notify Slack,", ",12,Michael Tolan
"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler",", , , , , ",15,
"Process CrowdStrike detections, check hashes in VirusTotal, and create tickets in IRIS",", , ",16,Michael Tolan
Utilize scenarios in Octoperf and retrieve analysis reports,,44,
Remind employees to take time off with BambooHr & Slack,", ",10,
Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,", , ",30,Rosie Halpin and Aaron Sandow
Retrieve raw browser history artifacts from devices in CrowdStrike,,70,Ahmad Aziz at Booking.com
Rickroll users in Slack,,8,Andrew Katz at Jamf
Pull & add IOCs from Malware Traffic Analysis to Drata controls,", ",13,
Monitor Duo Security logs for new MFA devices,,15,
Review OAuth application access with AppTotal,,9,
Run a Forensics Lab in Tines,,119,Todoran Horia
Use auto-submitting pages to capture user data and update Jira,,6,Michael Tolan
Retrieve all subdomains & resource records for a domain with Farsight DNSDB by DomainTools,,16,
Create a security incident in Airtable,,6,
Search Axonius for devices and enrich with VulnCheck,", ",48,Michael Tolan
Triage Google Chronicle cases from Slack,", ",43,Sakil Khan
Run forensics on an endpoint file in CrowdStrike,,33,Conor Dunne
Analyze AWS IAM policies for sensitive access permissions,,15,Michael Tolan
Receive a Request for Device Approval into Tailscale and Check Axonius,", , ",17,
Create AWS RDS databases from a backup via Slack,", ",47,Conor Dunne
Reset Google account password and notify via Slack,", ",13,Conor Dunne
Comment on Jira issue if email subject contains issue key,,7,Michael Tolan
Send Google Workspace security logs to ELK,", ",6,
Generate and email real-time vulnerability reports from Socket,,9,
Request updates to stale Jira issues,,11,
Get a list of credentials without domain restrictions in Tines,,14,
Work with Tines data using the Tines API,,49,
Manage Salesforce lead capture with Tines pages and cases,", ",46,Conor Dunne
Invalidate authentication sessions for a user in Okta,,14,Conor Dunne
Emit a string from an extracted array,,3,
Get asset vulnerability information from Tenable,,30,Michael Tolan
Create and manage temporary email addresses with Tines,,21,Michael Tolan
Create incidents in Anomali Threatstream from Recorded Future alerts,", ",7,
Run a job using Ansible Tower,", ",11,
Monitor Tines actions with Records,,9,Charles Himmelein at Capital Group
Request and approve access to new tools with an audit trail,", , , , ",31,Michael Tolan
Create an API to manage indicators of compromise,,58,Conor Dunne
Graph issue response and closure times for a project in Jira,,27,
Scan a URL in Criminal IP,", ",11,
Create ServiceNow incidents from SpyCloud alerts,", ",24,SpyCloud
Manage Fleet compliance policies using Tines cases,,102,Conor Dunne
Send SMS with Twilio if assigned to a Case in Tines,", , ",15,Michael Tolan
Monitor and delete old CLI projects in Snyk,,9,Andrew Orr Ewing at Applied Systems
Grant temporary console access to AWS services with Tines pages,,20,Michael Tolan
Manage LimaCharlie sensor isolation with Tines pages,,11,
Manage AWS Inspector findings with ServiceNow,", ",11,
Lookup devices in Lansweeper using a Slack command,", ",10,Conor Dunne
Social Interact Made Easy with Virtual Coffee Bot,,36,
Sync on-call engineers from PagerDuty to Bowtie access groups,", ",16,Michael Tolan
Roll back AWS EC2 instances to previous snapshots using tags,,62,Conor Dunne
Add HIPAA training evidence to Drata,,7,
Get IP address information,", ",9,Michael Tolan
Use Slack to record specific Wiz insights in TheHive,", , ",26,
Create Sublime Security rules using Recorded Future threat intel,", ",24,
Manage Google Calendar swiftly when unexpected alerts trigger,", ",42,
Query GreyNoise for CVEs and update blocklist,,7,
Analyze an email address in multiple services,", ",4,Michael Tolan
Get info from Salesforce,,11,
Send daily Google Calendar reminders in Slack with notes integration,,19,Michael Tolan
Create and manage an Email API through Tines,", , ",33,
Track issues across GitHub and Zendesk,", ",28,
Record CVE findings from Wiz in MongoDB,", ",10,
Provide a password reset page for Okta,,8,
Review team member access in Tines,,14,
Get EC2 Security Groups for an instance,,17,Michael Tolan
Add user to Entra ID,", ",11,
Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,", , ",11,Manuel Boira at Sysdig
Review Snyk organization findings with Jira issues,", ",66,Andrew Orr Ewing at Applied Systems
Provide a password reset page in Tines,", , ",18,Michael Tolan
Receive and correlate alerts from Sysdig,", , , ",10,
Retrieve the code owners of a file in GitHub,,31,Conor Dunne
Build a software report in runZero enriched with software end of life dates,", ",11,Conor Dunne
Lookup and retrieve subdomain certificate information using Censys,,7,Conor Dunne
Retrieve domain risk scores in Slack using DomainTools API,", ",13,
Manage users and assign secrets for API access,,51,Conor Dunne
Select a Slack user at random,,7,
Share secrets with others using pages,,27,Michael Fischler at Roblox
Offboard employees using HiBob,", , , ",18,
Deallocate and delete unnecessary virtual machines in Azure and raise tickets,", , ",27,Michael Tolan
Fetch issues and evidence from Noname Security and process in Splunk,,10,
"Receive New Relic alerts, create Tines cases, and restart AWS instances",", ",12,
Verify User Identity through slack with Okta/Yubikey OTP,,15,Pendie Garrett at Credit Karma
Monitor Discord servers for leaked secrets and send alerts,,20,Liam Malone
Send simple messages or cards to Google Spaces,,20,
Paginate over the Tines API using multiple methods,,16,Conor Dunne
Export Splunk SOAR cases to Tines,", ",26,
Monitor and analyze domain's digital footprint with Silent Push,,10,Jonathan Peyster at Silent Push
Identify and resolve false positive AWS alerts in Orca,", , ",23,
Create a takedown case in Phish Report,,8,Michael Tolan
Raise Jira requests using Tines Pages and notify Slack,", ",8,Michael Tolan
SIGMA converter for YAML,", ",10,Nathan Collings at Holland & Barrett
Search for assets in Axonius,,39,Michael Tolan
Lookup a file in VirusTotal,,26,Michael Tolan
Gather correlated Splunk searches and add to Anvilogic use cases,,10,
Process OT detection alerts in Claroty and document in Jira,", ",11,
Detect and remediate malware issues in Wiz with SentinelOne and The Hive,", , , ",22,
Schedule SBOM and SPDX creation in Snyk and store in Sharepoint,,32,Andrew Orr Ewing at Applied Systems
Escalate cases to emergency resources with Twilio,", ",29,Michael Tolan
Notify users of safe email reports in Sublime Security,,3,Aiden Mitchell
Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,", , ",9,
Manage access to web pages with Island browser,", ",21,Conor Dunne
Review OAuth application access in Azure and track in Tines cases,,20,Conor Dunne
Monitor Digital Shadows alerts by tracking and updating within Jira,,15,
Save Tines Story in Google Cloud Platform,,5,
Create VirusTotal domain reputation summaries using NVIDIA AI,", , ",18,Conor Dunne
Create issues in Jira for Sysdig vulnerability findings,", ",13,
Manage AWS Macie findings with Tines cases,", ",17,Conor Dunne
Format and post long messages as a single thread on X,,12,Michael Tolan
"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack",", , , , , , ",16,
Monitor website certificates for expiration,", , ",26,Conor Dunne
Monitor a domain for risk score changes with DomainTools' Iris Enrich,,28,
Add evidence of device updates to Drata,,9,
Discover leaked email passwords and personal information with DeHashed,,11,
Pivot on artifacts related to a domain with DomainTools' Iris Investigate,,11,
Handle cloud compliance notifications with Sysdig,", ",4,
Add external IOCs to custom list in Infoblox ThreatDefense,,21,Sif Baksh
Replay Data with Cribl into Elastic Security and Isolate Hosts Using Elastic Agent,", ",20,
Get routine security updates and create cases based on calculated severity,,20,Michael Tolan
Request and approve temporary AWS S3 access with pre-signed URLs,", ",23,
Enrich Canarytoken alerts and notify the security team,", ",12,Dennis Chow
Generate SecurityScorecard issue report and create Jira tickets for new issues,", ",9,Conor Dunne
Run asset vulnerability scans & add evidence to compliance system,", ",24,
Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,", , ",20,Michael Tolan
Run command & control tasks in Mythic using Slack,,8,
Enrich WAF Alerts with GreyNoise,,10,
Automate Response to Data Risk with Tines and Code42 Incydr,", , ",13,
Manage CyberArk access requests using Slack,", , ",23,Conor Dunne
Create or suspend role in Google,,18,
Generate pretexts for sockpuppet accounts using OpenAI,,7,Aaron Wilkinson at Orbia
Track issues across Tines and Zendesk,,28,
Record container vulnerabilities from AWS Inspector in GitHub,", ",8,Liam Malone
Send employee probation reminders to managers using BambooHR,,16,
Update CrowdStrike Real Time Response script from AWS S3,", ",7,
Reimage AWS instance,,25,Shaun Finn
Generate a Tines case incident response timeline,", ",18,Conor Dunne
Automate procure-to-pay requisition and approval,,64,Stephen Creedon and Peter Coleman
Disable AWS User from Hunters Alert with Jira prompt,", , ",13,
Create or suspend role in CrowdStrike,,13,
Allow developers to manage OIDC applications in Okta,,8,Florian Baumgartner at IMC
Process & enrich Cylance detections,", , , ",29,
Implode an unknown number of events resulting from time-based explodes,,15,
Add anti-virus evidence in Drata,,9,
Store images and send as email attachments,,3,
Enrich IPs with VirusTotal Enterprise,,8,
Perform Google Workspace access review,", ",11,Rosie Halpin
Alert users of potential breaches detected by SpyCloud.,", ",9,Conor Dunne
Event Transform Modes Explained,,22,
Build a long running process results page in Tines,,8,
Overwrite data in Tines prompts,,6,
Verify Slack signatures are authentic,,9,
Capture and post handover notes in Slack using a Zendesk lookup,", ",8,
Split a large array into smaller arrays,,9,
Change GitHub repository from public to private,,15,
Manage Sharepoint sites,", , ",20,Shaun Finn
Assess potential AWS IAM security vulnerabilities with OpenAI,", ",15,
Group related issues in Jira,,10,
Add endpoints to a trusted device list in Duo,,6,Mike Toole at Blumira
Remediate vulnerabilities identified by AWS Inspector v2,", ",16,
Collect CPU and RAM usage on an endpoint with Tines and CrowdStrike,,35,Conor Dunne
Log alert types in Tines resources,,12,
Export CrowdStrike detections to Google Cloud Storage as CSV,", ",6,Michael Tolan
Use resources to facilitate decision-making,,15,
Report KMSAT events in KnowBe4 with pages,,9,
Retrieve a directory from an endpoint using CrowdStrike and save to Google Drive,", , ",22,Conor Dunne
Upload a file to Google Cloud Storage,", ",7,Michael Tolan
Randomly select a number of items from an array,,10,
Analyze email attachment hashes from Sublime Security with VirusTotal,", , ",33,Michael Tolan
Send Google Workspace security logs to AWS S3,", ",8,Michael Tolan
Isolate & remediate AWS EC2 instance based on IOC,", , ",23,
Utilize ChatOps to get feedback on alerts & changes within your environment,,13,
Analyze quality of issues in Jira with Tines pages and records,,16,Michael Tolan
Bootcamp - Tines Workbench,,11,
Alert users of JupiterOne issues associated to their account,", ",13,Conor Dunne
Send SpyCloud alerts to Anomali Threatstream,", ",9,Canva at Canva
Build a timeout into a story,,13,
Discover inactive Service Accounts in Google Cloud,", , , ",13,
Launch DAST scan on web app via CI/CD pipeline,,16,Julien D.
Add ID.me contacts to SalesForce,", ",4,
Scan an invoice or receipt with AWS Textract,,24,
Lookup third-party domain in Recorded Future,", , ",20,Aaron Sandow
Recover deleted emails in Gmail,,12,
Save attachments from emails in Microsoft Outlook to Microsoft OneDrive,", ",6,Conor Dunne
Export Tines story time saved time series data to Google Sheets,", ",17,
Create custom Gmail filters from Sublime Security findings,", , ",14,Conor Dunne
"Retrieve Code42 alerts, send to Slack and suspend user in Okta",", , ",32,
Migrate Tines Story from development tenant to production,,41,
Generate a yoga flow routine with ChatGPT and Tines Pages,,3,
Query Censys for known Command & Control IPs add as IoCs in CrowdStrike,", ",16,Michael Tolan
Monitor CVE trends via Cybersixgill and alert on impacted assets in Tenable.io,", , ",6,
Create issues using the Elastic Common Schema,", ",11,
Calculate message similarity using the Levenshtein Distance function,,3,
Celebrate new Tines Stories with Spotify,,10,Michael Tolan
Import Tines Story from AWS S3,,5,
Scan a file using Sublime Security,,10,Josh Liburdi
Create and manage malware labs using Terraform Cloud,", ",47,Conor Dunne
Analyze a hash with YARA rules using Abuse.ch YARAify,,13,Michael Tolan
Provision AWS and Vault access via Okta,", , ",25,Zach Perry at PathAI
Game: Guess the anime quote,,47,
Enrich command line utility with LOLBAS information,,9,
Connect with Trend Micro using Java Web Tokens,,9,
Send follow up email to event attendees,,16,
Backup and download logs from AWS S3 warm storage,", , ",45,Conor Dunne
Regularly update insecure AWS EC2 security groups,,10,Michael Tolan
Run Javascript with Google Cloud Functions,,2,
Remove employee from a departing watchlist in Code42,,9,
Communicate across chats in Intercom and Slack,", ",30,Conor Dunne
Log Tines action failures and create issues to track,", ",8,Michael Tolan
Discover & remediate public Tines pages,,18,
Add hard drive encryption evidence to Drata,,8,
Time-based Okta group membership,", ",11,Scott Bean
Check Workday for unauthorized travel and alert in Slack,", , , , ",34,Muhammet Tekbicak
Question a user and check response via Slack,,35,Michael Tolan
Send emails to all users stored in an AirTable database,,8,Conor Dunne
Generate a SBOM in Veracode,", ",9,
Find & remediate public AWS S3 bucket access with Anecdotes,", ",16,
Retrieve a list of suspicious objects from Trend Micro Apex Central,,3,
Monitor VulnCheck KEV and alert on impacted assets in Tenable.io,", , ",6,
Write descriptions for Tines stories using AI,,18,Tyler Talaga at MyFitnessPal
Notify Microsoft Teams when issues in Jira have not been triaged,", ",11,Michael Tolan
"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack",", , , , ",20,Michael Tolan
Create an API from an image using ChatGPT,,9,
Create versioned backups on Google Drive files using Box,", ",13,Conor Dunne
Contain devices identified by CrowdStrike Falcon Overwatch,", ",17,Michael Tolan
Manage user access to ChatGPT,,94,Conor Dunne
Use Slackbots to understand jargon,,25,
Create and populate a Google file,", ",17,
Disable a user in Duo Security and Azure Entra ID while alerting PagerDuty,", , ",12,
Manage Elasticsearch and GKE clusters via Slack bot,", , ",41,Christopher Cutajar at Elastic
Triage Elastic Alerts and send to SIEM,,37,Ameer at CyberNX Technologies
Manage Okta user groups and create Jira tickets via Slack,", , , , ",140,Sandeep Kumar
Execute commands on EC2 instances using AWS Systems Manager,,26,Conor Dunne
Create many new Microsoft Entra ID users using Tines pages,", ",16,Conor Dunne
Monitor and manage Tailscale device enrollments via Slack,", ",6,Conor Dunne
Run remote commands in LimaCharlie,,14,
Manage Okta login threshold limit in Jira via Slack,", , ",15,
"Filter, redact and securely distribute SpyCloud data",,14,SpyCloud
Record and update affected Windows CrowdStrike host status using Smartsheet,", ",18,Taylor Rainwater at Fortune Brands
Distribute IoC's using Pub/Sub in Google Cloud,,8,Conor Dunne
Get NPM package files from GitHub and check for vulnerabilities,", , ",42,Conor Dunne
Send AWS EventBridge events to Slack,", ",7,Conor Dunne
Create dynamic groups in Azure Active Directory,", ",14,
Fetch vulnerabilities in SecurityScorecard and add to Drata,", ",23,
Add password manager evidence to Drata,,8,
Retrieve a list of Trend Micro Apex Central's managed servers,,3,
Get host log alerts from Devo SIEM,", , ",10,
Get breach data from SpyCloud and track with Jira,,24,SpyCloud
Save and retrieve files for reference,,15,Conor Dunne
Analyze a hash with Recorded Future,,6,Michael Tolan
Manage CrowdStrike IOC blocklist,,45,Michael Tolan
Display data using Quickchart,,3,Michael Tolan
Search Fleet for software on devices using Slack,", ",21,Conor Dunne
Analyze Bugcrowd submissions with OpenAI and track in Jira,", ",4,Michael Tolan
Routinely sync Jira issue details with DynamoDB,", ",10,Michael Tolan
Lock a device in JumpCloud,", ",35,Nicolas Oropel at Eron International
Update vulnerable hosts using ManageEngine Endpoint Central and Fleet,", ",14,Conor Dunne
Generate images from text using Stability AI,,4,
Retrieve overly permissive Google Cloud firewall rules with Wiz,", ",11,Conor Dunne
Respond to publicly exposed files in Google Drive with Reco,", ",30,
Send automated responses in Messenger,", ",8,Michael Tolan
Update employee probation status with BambooHR & Slack,", ",21,
List Tines records with artifact values,,9,Conor Dunne
Detect unusual user activity with Material Security,", , ",11,Material Security
Monitor Azure application secrets for expiration and alert,", , ",9,Michael Tolan
Give kudos to coworkers using a Slack bot,", ",28,Adam Maksimuk at Navan
Retrieve Google Security Command Center findings and create issues in Jira,", ",12,Conor Dunne
Track Google search trends using SerpApi and save to OneDrive,", , , ",10,Michael Tolan
Verify Route 53 A records use active Elastic IPs,,17,Michael Tolan
Retrieve blocked DNS queries from AdGuard and enrich with VirusTotal and LimaCharlie,", , ",15,Conor Dunne
Generate an SBOM with AWS Inspector and add to GitHub,", ",11,Liam Malone
Receive and enrich cloud root login notifications in AWS using Tines and CloudTrail logs,,14,
Respond to Google Drive public exposure alerts in Reco and secure files,", , , ",46,
GitLab handover with response teams via a Slackbot,", ",42,
Retrieve alerts from Google Security Command Center,,19,
Unsubscribe users from an email distribution list,,17,Aaron Sandow
Sync Tines records to Google Sheets,,27,Conor Dunne
Manage browser extension requests with Secure Annex,,7,John Tuckner at Secure Annex
Validate GitHub webhook deliveries,,5,
Retrieve logs from the Wazuh Indexer,", ",8,Conor Dunne
Ingest Tines audit logs into Grafana Loki,", ",8,Aron Day
Block a hash in SentinelOne,,3,Michael Tolan
Leverage AWS Bedrock for investigation help in Tines cases,,15,Adam Maksimuk at Navan
Analyze Tines action failure notifications with AI,,6,Tyler Talaga at MyFitnessPal
Search NetBox for device info using Slack,", ",26,Michael Tolan
Isolate machines based on malicious Cybereason Malops and track in JIRA,", , ",21,
Disable Google Accounts based on SpyCloud breaches,", , ",19,SpyCloud
Capture Tines events in Supabase,,17,Conor Dunne
Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,", , ",4,
Search for and remediate inactive AWS accounts from JupiterOne,", , , ",14,
Lock a portion of a story for updates,,7,Conor Dunne
Notify Slack channel of recently added tracks in Spotify playlists,", ",15,Michael Tolan
Enrich IPs recorded in Airtable,", , ",14,Michael Tolan
Authenticate page submissions with multifactor authentication,,23,Conor Dunne
Monitor and backup Fleet policies in GitHub,", , ",27,Conor Dunne
Redirect requests based on browser platform,,6,
Stay on top of daily wellness attributes,,53,
Record Tines Stories in Airtable,,10,
Run a SQL Query in Dremio,,7,
Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,", , , ",20,
Monitor user activity in Google Drive,", ",18,Christopher Toole at OVO Group
Create and sync issues in Jira from data in Google Sheets,", ",18,Michael Tolan
Manage Asana tasks and users with Tines Pages,,37,John Peter Vasanth
Track vulnerabilities identified in CrowdStrike Spotlight with Tines cases,,52,Sam Olson at Omada Technologies
Scan a file on Any.run,,20,
Backup Tines Stories to Azure Blob Storage,", ",25,Michael Tolan
Send Slack notifications when AWS budgets are exceeded and take action,", ",10,Michael Tolan
Create and manage an email through Tines Pages,,53,
Manage an email subscription list in Tines,,11,
Log Axonius users without an Okta connection with BMC Remedy,", , ",5,
Backup Power BI reports to GitHub,", ",24,Michael Tolan
Using Slack with DomainTools' Iris Investigate API,", ",16,
Retrieve & enrich Okta alerts from Logz.io,", , ",27,
Initiate MISP investigation from a Tines case,,20,Conor Dunne
Crowdstrike Firewall Domain Blocking,,10,Euan Dunsmore at OVO Group
Use ChatGPT for triaging with internal playbooks,", ",32,Matt Houston
Create an AI generated morning incident report,,22,Dermot Bruce-Agbeko
Manage your fantasy football team with Slack,,61,
Deploy Canarytoken using CrowdStrike RTR,", , ",7,Tyron Kemp at Thinkst Canary
Suspend User in Atlassian,,8,Matt Svensson at GetRealLabs
Reset Azure Entra ID passwords seen in SpyCloud breachces,", ",14,SpyCloud
Assign New Okta Administrator Role to Okta from BambooHR through Opal,", , , ",16,
"Sysdig Cloud Detection, Document with Jira, and Respond with Tines",", , , , , ",40,Manuel Boira at Sysdig
Integrate Anomali Threat Intelligence with Sublime Security's email detection signatures,", ",39,Dan Le
Retrieve CrowdStrike alerts and send to Falcon LogScale (Humio),,8,
Update Linux system packages using Ansible Tower,", ",16,Conor Dunne
Upload and execute a script on an Elastic Fleet endpoint,,15,Conor Dunne
Perform free text Censys searches via a Slack channel,", ",11,Conor Dunne
Receive alerts from Anecdotes.ai and create a ticket,", ",11,
Get service status updates and post to X,,5,Michael Tolan
Add screensaver lock evidence to Drata,,9,
Send alerts when GitLab projects change to public visibility,", ",17,
Track ID.me responses with Google Sheets,", ",3,
Monitor the health of a Hashicorp Vault cluster,", ",13,Nate Adams at Sophos
Add IdP MFA evidence to Drata,,7,
Send data to Devo SIEM,,2,
Standardize and enrich EDR alerts across platforms,", , , ",26,Shaun Finn
Distributed Alerting Slackbot with 2FA,", , ",99,Jamison Bigham
Fill out weekly recaps with Tines Pages and Slack,", ",30,Conor Dunne
Convert a Tines case to a Microsoft Word document with TurboDocX,", ",13,Aaron Sandow
Alert when Netskope SSPM Posture Score breaches threshold,,4,Netskope
Display Disney World Wait Times,,5,Aron Day
Create and modify EC2 Security Groups,,7,Michael Tolan
Manage supply chain ransomware incidents using Ransomware.live,,6,Sif Baksh
Manage Aikido vulnerabilities with Tines cases and records,,38,Troy Wegner
Notify and assign training based on Harmonic Security alerts,", , , , ",17,Harmonic Security
Scan a domain with CriminalIP,,16,Michael Tolan
Analyze a domain with APIVoid,,23,Michael Tolan
Close Tines Cases if JupiterOne vulnerabilities are resolved,", ",14,
Scan suspicious links in emails with Webhood,,10,Markus Lehtonen at Webhood
Monitor Intercom for sensitive content with Nightfall and record in Tines,", , ",7,Conor Dunne
Monitor for domains that match a query in DomainTools Iris Investigate and notify Slack,", ",7,Nghia N at DomainTools
Search for docs in Coda using Slack,", ",9,Conor Dunne
Send Slack notifications for Kubernetes pod status changes,", ",13,Conor Dunne
Create campaigns on new delivr.to payloads and report results,,20,
Randomize elements of a list to choose a new order,,4,
Search for & remediate public AWS S3 buckets with Veza,", , ",13,
Search for vulnerable or malicious dependencies across services,", , , , , ",113,Emily Nguyen
Update Google Sheets With Snowflake Data,", ",5,Colm O'Grada
Search free Cobalt Strike IoC feeds for a value,,10,Sif Baksh
Tines web crawler,,17,Conor Dunne
Manage Entro exposure notifications via Slack and Jira,", ",13,Yehonatan Tsirolnik at Entro
Track critical alerts for exposed AWS Keys,,27,Jaroslaw Wojciechowski at Roche
Manage user accounts in CrowdStrike,,18,John Peter Vasanth
Get reservation information and statistics for a local gym,", , ",13,Marti B
Create a task in Linear,,5,Michael Tolan
Create custom connectors for Opal using Tines,,43,
Search Google Vault for user activity,,18,Matt Houston
Shuffle and deal cards from Tines resources,,28,
Track Opal access requests and create cases in Tines,,34,Conor Dunne
Transfer Kubernetes manifest ownership via Slack,", ",22,Conor Dunne
Sync Okta groups with Fleet labels,", ",15,Dave Herder at Fleet
Review tasks in ConductorOne for inactive approvers and alert in Microsoft Teams,", ",10,Michael Tolan
Streamline AWS Elastic Container Registry vulnerability monitoring with Tines Cases,,8,
Synchronize Google Group email list with an AirTable database,", ",8,Conor Dunne
"Receive, distribute, and report delivr.to payload notifications",,20,
Generate GNQL queries from plain text using GreyNoise Labs,,12,Tines and Conor Dunne
Register for live classes in Docebo,,14,
Compare prompts across LLMs in Openrouter using Tines Pages,,16,Michael Tolan
"Rock, Paper, Scissors via Slack",,19,Daniel Diez at Auctane
Crowdstrike weekly host audit,,13,Tom Power at University of British Columbia
Send a customised daily briefing in Slack,", ",26,Michael Tolan
Email template personalization using Microsoft Outlook,,8,Aeon Psych
Investigate security alerts in Workbench from Slack links,", , ",3,Michael Tolan
Create a Panic Button for users,", ",8,Francesco Pergola
Update entry in a list in Sublime Security,,6,Michael Tolan
Authenticate a user using Duo,,7,
Get list information in Sublime Security,,6,Michael Tolan
Coach users to use AI safely with Harmonic Security and Teams,", ",8,
Coach users to use AI safely with Harmonic Security and Slack,", ",9,
Search alphaMountain for URL threat intelligence via Slack,", ",11,Michael Tolan
Record IoCs in Google FireBase,", ",13,Conor Dunne
Verify user identities using Nametag and Tines pages,,9,Andy Caird at Nametag
Query Falcon Logscale from Slack,", ",12,Michael Tolan
Manage alerts from Vorlon with Tines cases and records,", ",38,Anil at Vorlon
Receive malware events from Azure Event Grid and remove files from Azure Blob Storage,", ",12,Michael Tolan
Query a database collection in Azure Cosmos and download the results,,20,Michael Tolan
Update employee probation status with HiBob & Slack,", ",11,
Review tasks in ConductorOne for inactive approvers and alert in Slack,", ",9,Michael Tolan
Monitor TLS certificates for a domain with SSLMate,", ",25,Conor Dunne
Isolate and take a snapshot of an instance in Google Cloud,,26,Conor Dunne
View and manage AirTable webhooks using Tines pages,,22,Conor Dunne
Sync Intercom conversations with Tines cases,", ",26,
Create posts in Workplace from Meta,", , ",3,Michael Tolan
Offboarding users to OctoPerf via Pages and Jira,", ",27,
Validate a one-time Yubikey password,,19,Nate Adams at Sophos
Verify signed authentication data for DomainTools,,14,
Handle Kolide exemption requests via Slack,", ",22,Scott Bean
Send assets to Asset Register in Jira Service Management,,47,Sid Pillarisetty at Personio
Generate a poem from an image,,5,Gabe Schuyler
Manage a Hetzner Minecraft Server via Discord,,35,Yannick Gloster
Ingest Tines audit logs into Snowflake,", ",13,Michael Tolan
Monitor RSS feed for keywords and send to Slack,", ",13,Nick Page
Harmonic Hotdog Slackbot,,26,Ed Merrett at Harmonic Security
Remove multiple or single keys from an object,,2,Horia Todoran
Sync Google spreadsheet to records,,23,Conor Dunne
Parse URL From Email and Send To Notion,,4,Colm O'Grada
Handle a MoveWorks Proxy via Tines,,29,Kyle Beckwith at Reddit
Delete Buildkite job logs,", , ",19,Christopher Cutajar at Elastic
Battleworld Slack app game,,30,Peter Ortiz
Bootcamp - Pages and Applications (Holiday Edition),,8,
Manage Microsoft Teams chat membership,", ",18,Nathan Collings at Holland & Barrett
Create an API to query Tines template vendors and actions,,8,John Tuckner
Analyze Tines action failures with AI and get remediation advice,,16,Michael Tolan
Grammar fixer with Tines pages,,8,Mikie Lennon
LLM-Powered Fantasy Manager,,54,Tyler Talaga at MyFitnessPal
Create JIRA tickets for Nudge Security SaaS posture findings,,7,Jaime Blasco at Nudge Security
Triage Code42 alerts via Slack,", ",24,
Create or update a custom Real Time Response script in CrowdStrike,,8,
Get teams in Linear,,9,Michael Tolan
Get compliance status for a user in Drata,,3,
Query Fleet for software on hosts,,5,
Search for processes on a host using Fleet scripts,", ",27,Conor Dunne
Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,", , , ",10,Michael Tolan
Send Google Workspace security logs to LogScale,", ",6,
Register and run container tasks in AWS ECS,,12,
Add IOCs from Pulsedive threats to Azure Cosmos DB,", ",5,
Monitor when a tagged domain becomes active in DomainTools Iris Investigate and notify via Slack,", ",8,Nghia N at DomainTools
Grant temporary programmatic AWS access with Tines pages,,26,Michael Tolan
Track Intercom conversations in Quickbase,", ",7,
Enable secret scanning and push protection on newly public GitHub repositories,", ",4,Christopher Cutajar at Elastic
Raise incidents in Atlassian Statuspage,", ",16,
Get Cyberark Safes and Members,,12,Nick Page
Create and sync Google Calendar events from Notion,", ",23,Yanni Hajioannou
Investigate and remediate multiple denied MFA push requests in Okta,", , , , ",31,Claudia Kinsella
Create a Netsuite sales order for a won Salesforce opportunity,", ",16,Peter Coleman
Sync Github file with a Tines Resource,", ",13,Nick Page
