Tool Name,Story,Works with,No. of Actions,Author
Jira Software,Create new Azure AD users via a form,"['Jira Software', 'Microsoft', 'Microsoft Azure']",10,Shaun Finn
Jira Software,Track AWS GuardDuty alerts in Jira and remediate,"['Amazon GuardDuty', 'AWS', 'Jira Software']",18,
Jira Software,Retrieve Proofpoint events and log issues in Jira,"['EmailRep', 'Jira Software', 'Proofpoint', 'URLScan.io', 'VirusTotal']",11,Michael Tolan
Jira Software,Analyze vulnerabilities from JupiterOne by source account,"['Jira Software', 'JupiterOne', 'Slack']",12,
Jira Software,Create issues in GitHub and Jira from findings in Semgrep,"['GitHub', 'Jira Software', 'Semgrep']",20,Conor Dunne
Jira Software,Manage Qualys EC2 vulnerabilities in Jira,"['Jira Software', 'Qualys']",25,
Jira Software,Query Snyk & gather a vulnerability report,"['Jira Software', 'Snyk']",13,
Jira Software,Create Jira issues for new alerts from Google Alert Center,"['Google', 'Jira Software']",8,
Jira Software,Approve user access to Okta or Office 365 using Pages,"['Jira Software', 'Microsoft', 'Okta', 'Slack']",44,
Jira Software,Triage Slack help desk queries,"['Jira Software', 'Slack']",28,
Jira Software,Analyze vulnerabilities from JupiterOne by severity,"['Jira Software', 'JupiterOne', 'Slack']",30,
Jira Software,"Handle, enrich and notify teams of new Qualys alerts","['Jira Software', 'Qualys', 'Slack']",20,
Jira Software,Investigate & remediate critical container vulnerabilities in Aqua Security Cloud Workload Protection Platform,"['Aqua Security', 'Jira Software']",24,
Jira Software,Determine severity of LimaCharlie detections and triage,"['Jira Software', 'LimaCharlie', 'Slack']",21,
Jira Software,Monitor large downloads by employees in Netskope and create Jira issues,"['Jira Software', 'Netskope']",11,Michael Tolan
Jira Software,Cleanup inactive users in AWS IAM,"['AWS', 'Jira Software']",43,
Jira Software,Look for & remediate new breaches using Recorded Future,"['Jira Software', 'PagerDuty', 'Recorded Future']",24,
Jira Software,Create issues utilizing custom fields in Jira,['Jira Software'],5,
Jira Software,Query AWS IAM users in groups,"['AWS', 'Jira Software']",5,Shaun Finn
Jira Software,Create shift handover notes in Confluence send reminders in Slack,"['Confluence', 'Jira Software', 'Slack']",13,Michael Tolan
Jira Software,Create and escalate Jira issues for GitHub Advanced Security findings,"['GitHub', 'Jira Software', 'Slack']",6,Conor Dunne
Jira Software,Search Jira for open SLA breaches,['Jira Software'],22,Nick Page
Jira Software,Receive & remediate SNS notifications from AWS Config,"['AWS', 'Jira Software']",43,Shaun Finn
Jira Software,Fetch & record significant vulnerabilities from Qualys Container Security,"['Jira Software', 'Qualys']",13,Aaron Sandow
Jira Software,Manage Jira issues via Slackbot,"['Jira Software', 'Slack']",94,
Jira Software,Retrieve new alerts from Microsoft Defender and create issues in Jira,"['Jira Software', 'Microsoft Azure', 'Microsoft Defender']",21,Michael Tolan
Jira Software,Retrieve & enrich IOCs across multiple platforms,"['Cybereason', 'Jira Software', 'PassiveTotal', 'Recorded Future', 'Slack']",14,
Jira Software,Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Azure']",24,
Jira Software,Close similar issues in Jira,['Jira Software'],13,Michael Tolan
Jira Software,Correlate data across Jira issues,['Jira Software'],14,
Jira Software,Sensitive files shared to personal email,"['Jira Software', 'Slack', 'Splunk']",26,Brandon Buhrs at Mambu
Jira Software,Process CrowdStrike detections with Intezer,"['CrowdStrike', 'Intezer Analyze', 'Jira Software', 'Slack']",22,Aaron Sandow
Jira Software,Search Jira for Issues,['Jira Software'],8,Michael Tolan
Jira Software,Message into Slack based on Jira queries,"['Jira Software', 'Slack']",8,Michael Tolan
Jira Software,Receive password breach alerts from SpyCloud and secure accounts,"['CrowdStrike', 'Jira Software', 'Okta', 'SpyCloud']",23,Conor Dunne
Jira Software,Onboard users to OctoPerf via Slack or Jira,"['Jira Software', 'OctoPerf', 'Slack']",29,
Jira Software,Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"['Jira Software', 'Recorded Future', 'Slack']",31,Aaron Sandow
Jira Software,Respond to & configure Terraform Cloud run task,"['HashiCorp', 'HashiCorp Terraform', 'Jira Software', 'Slack']",16,
Jira Software,Manage Jira custom fields and individual issue values with Pages,['Jira Software'],21,Conor Dunne
Jira Software,Report and lock lost devices in Jamf with Okta SSO,"['Jamf', 'Jira Software', 'Okta', 'Slack']",27,Sakil Khan
Jira Software,Respond to Okta alerts with Mattermost & Jira,"['Jira Software', 'Mattermost', 'Okta']",20,
Jira Software,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"['AWS', 'Jira Software', 'Slack', 'Wiz']",36,Conor Dunne
Jira Software,Receive and Remediate Security Hub S3 findings from Amazon Security Lake,"['AWS', 'Jira Software']",13,
Jira Software,Manage Logz.io SIEM Alerts,"['Jira Software', 'Logz.io']",5,
Jira Software,Scheduled rotation & tracking for AWS Access Keys in Drata,"['AWS', 'Drata', 'Jira Software']",29,
Jira Software,Push incidents from Jira to Drata,"['Drata', 'Jira Software']",4,
Jira Software,Reduce manually blocked items from Sophos Central in favor of auto-blocking,"['Jira Software', 'Sophos']",38,Nate Adams at Sophos
Jira Software,Enrich & document Recorded Future alerts,"['Jira Software', 'Recorded Future', 'Slack']",27,
Jira Software,Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"['Jira Software', 'JupiterOne', 'Slack']",15,
Jira Software,Use a Tines Page to analyze known vulnerabilities from Tenable,"['Jira Software', 'Slack', 'Tenable Vulnerability Management']",12,
Jira Software,Query Shodan for findings and alert on them using Slack and Jira,"['Jira Software', 'Shodan', 'Slack', 'Splunk']",11,
Jira Software,Close Jira tickets if JupiterOne vulnerabilities are resolved,"['Jira Software', 'JupiterOne']",17,
Jira Software,Enrich clicked URLs from Proofpoint and block with Zscaler,"['AbuseIPDB', 'Jira Software', 'Proofpoint', 'URLScan.io', 'Zscaler']",13,Michael Tolan
Jira Software,Retrieve alerts from Microsoft Defender for Cloud and create detailed issue in Jira,"['Jira Software', 'Microsoft Azure', 'Microsoft Defender']",20,Michael Tolan
Jira Software,"Investigate a URL with URLScan, create a ticket in Jira and take action","['AbuseIPDB', 'CrowdStrike', 'Jira Software', 'NextDNS', 'Phish Report', 'URLScan.io']",41,
Jira Software,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"['CrowdStrike', 'Jira Software', 'Microsoft Defender', 'Slack']",34,
Jira Software,Use auto-submitting pages to capture user data and update Jira,['Jira Software'],6,Michael Tolan
Jira Software,Comment on Jira issue if email subject contains issue key,['Jira Software'],7,Michael Tolan
Jira Software,Request updates to stale Jira issues,['Jira Software'],11,
Jira Software,Request and approve access to new tools with an audit trail,"['AWS', 'GitHub', 'Jira Software', 'Okta', 'Slack']",31,Michael Tolan
Jira Software,Graph issue response and closure times for a project in Jira,['Jira Software'],27,
Jira Software,Provide a password reset page in Tines,"['Jira Software', 'Okta', 'Slack']",18,Michael Tolan
Jira Software,Deallocate and delete unnecessary virtual machines in Azure and raise tickets,"['Jira Software', 'Microsoft', 'Microsoft Azure']",27,Michael Tolan
Jira Software,Raise Jira requests using Tines Pages and notify Slack,"['Jira Software', 'Slack']",8,Michael Tolan
Jira Software,Process OT detection alerts in Claroty and document in Jira,"['Claroty xDome', 'Jira Software']",11,
Jira Software,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"['AWS', 'Jira Software', 'SentinelOne', 'Wiz']",22,
Jira Software,Review Snyk organization findings with Jira issues,"['Jira Software', 'Snyk']",66,Andrew Orr Ewing at Applied Systems
Jira Software,Create issues in Jira for Sysdig vulnerability findings,"['Jira Software', 'Sysdig']",13,
Jira Software,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","['Jira Software', 'Microsoft', 'OpsGenie', 'Qualys', 'Slack', 'URLScan.io', 'VirusTotal']",16,
Jira Software,Monitor website certificates for expiration,"['APIVoid', 'Jira Software', 'Slack']",26,Conor Dunne
Jira Software,Handle cloud compliance notifications with Sysdig,"['Jira Software', 'Sysdig']",4,
Jira Software,Generate SecurityScorecard issue report and create Jira tickets for new issues,"['Jira Software', 'Security Scorecard']",9,Conor Dunne
Jira Software,Monitor Digital Shadows alerts by tracking and updating within Jira,['Jira Software'],15,
Jira Software,Automate Response to Data Risk with Tines and Code42 Incydr,"['Code42', 'Jira Software', 'Okta']",13,
Jira Software,Manage CyberArk access requests using Slack,"['CyberArk', 'Jira Software', 'Slack']",23,Conor Dunne
Jira Software,Disable AWS User from Hunters Alert with Jira prompt,"['AWS', 'Hunters SOC Platform', 'Jira Software']",13,
Jira Software,Manage Sharepoint sites,"['Jira Software', 'Microsoft', 'Microsoft Teams']",20,Shaun Finn
Jira Software,Group related issues in Jira,['Jira Software'],10,
Jira Software,Remediate vulnerabilities identified by AWS Inspector v2,"['AWS', 'Jira Software']",16,
Jira Software,Analyze email attachment hashes from Sublime Security with VirusTotal,"['Jira Software', 'Sublime Security', 'VirusTotal']",33,Michael Tolan
Jira Software,Isolate & remediate AWS EC2 instance based on IOC,"['AWS', 'Jira Software', 'Slack']",23,
Jira Software,Analyze quality of issues in Jira with Tines pages and records,['Jira Software'],16,Michael Tolan
Jira Software,Discover inactive Service Accounts in Google Cloud,"['Google', 'Jira Software', 'Slack', 'Wiz']",13,
Jira Software,Lookup third-party domain in Recorded Future,"['Jira Software', 'Recorded Future', 'Slack']",20,Aaron Sandow
Jira Software,Log Tines action failures and create issues to track,"['Jira Software', 'ServiceNow']",8,Michael Tolan
Jira Software,Notify Microsoft Teams when issues in Jira have not been triaged,"['Jira Software', 'Microsoft Teams']",11,Michael Tolan
Jira Software,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","['AWS', 'BambooHR', 'Jira Software', 'Microsoft Azure', 'Slack']",20,Michael Tolan
Jira Software,Contain devices identified by CrowdStrike Falcon Overwatch,"['CrowdStrike', 'Jira Software']",17,Michael Tolan
Jira Software,Manage Okta user groups and create Jira tickets via Slack,"['AWS', 'Jira Software', 'Knowbe4', 'Okta', 'Slack']",140,Sandeep Kumar
Jira Software,Manage Okta login threshold limit in Jira via Slack,"['Jira Software', 'Okta', 'Slack']",15,
Jira Software,Get host log alerts from Devo SIEM,"['Devo', 'Jira Software', 'Slack']",10,
Jira Software,Analyze Bugcrowd submissions with OpenAI and track in Jira,"['Jira Software', 'OpenAI']",4,Michael Tolan
Jira Software,Routinely sync Jira issue details with DynamoDB,"['AWS', 'Jira Software']",10,Michael Tolan
Jira Software,Monitor Azure application secrets for expiration and alert,"['Jira Software', 'Microsoft Azure', 'Slack']",9,Michael Tolan
Jira Software,Retrieve Google Security Command Center findings and create issues in Jira,"['Google', 'Jira Software']",12,Conor Dunne
Jira Software,Isolate machines based on malicious Cybereason Malops and track in JIRA,"['AbuseIPDB', 'Cybereason', 'Jira Software']",21,
Jira Software,Disable Google Accounts based on SpyCloud breaches,"['Google', 'Jira Software', 'SpyCloud']",19,SpyCloud
Jira Software,Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,"['Cybersixgill', 'Jira Software', 'Slack']",4,
Jira Software,Search for and remediate inactive AWS accounts from JupiterOne,"['AWS', 'Jira Software', 'JupiterOne', 'Slack']",14,
Jira Software,Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,"['AWS', 'Drata', 'Jira Software', 'Veza']",20,
Jira Software,Create and sync issues in Jira from data in Google Sheets,"['Google Sheets', 'Jira Software']",18,Michael Tolan
Jira Software,Standardize and enrich EDR alerts across platforms,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",26,Shaun Finn
Jira Software,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"['BambooHR', 'Jira Software', 'Okta', 'Opal']",16,
Jira Software,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","['AWS', 'GreyNoise', 'Jira Software', 'Kubernetes', 'Sysdig', 'Tines']",40,Manuel Boira at Sysdig
Jira Software,Distributed Alerting Slackbot with 2FA,"['Jira Software', 'Slack', 'Sumo Logic']",99,Jamison Bigham
Jira Software,Search for & remediate public AWS S3 buckets with Veza,"['AWS', 'Jira Software', 'Veza']",13,
Jira Software,Manage Entro exposure notifications via Slack and Jira,"['Jira Software', 'Slack']",13,Yehonatan Tsirolnik at Entro
Jira Software,Send a customised daily briefing in Slack,"['Jira Software', 'Slack']",26,Michael Tolan
Jira Software,Receive malware events from Azure Event Grid and remove files from Azure Blob Storage,"['Jira Software', 'Microsoft Azure']",12,Michael Tolan
Jira Software,Create posts in Workplace from Meta,"['Jira Software', 'Meta', 'Workplace']",3,Michael Tolan
Jira Software,Offboarding users to OctoPerf via Pages and Jira,"['Jira Software', 'OctoPerf']",27,
Jira Software,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Slack']",10,Michael Tolan
AWS,List EC2 instances in AWS,['AWS'],11,Michael Tolan
AWS,Find & remediate publicly exposed S3 buckets with Wiz,"['AWS', 'Jira Software', 'Slack', 'Wiz']",13,
AWS,Investigate & remediate Lacework alerts,"['AWS', 'Jira Software', 'Lacework']",25,
AWS,Detect and remediate malware issues in Wiz with SentinelOne,"['AWS', 'Jira Software', 'SentinelOne', 'Wiz']",21,
AWS,Check if new AWS GuardDuty findings are malicious,"['Amazon GuardDuty', 'AWS', 'Jira Software', 'URLScan.io']",27,
AWS,"Detect, log and remediate AWS alerts with Orca Security and Jira","['AWS', 'Jira Software', 'Orca Security', 'Slack']",21,
AWS,Detect and Block Bucket Public Access Policy with Cyera.io and AWS,"['AWS', 'Cyera', 'Jira Software']",11,
AWS,Ingest Tines audit logs into AWS S3 Bucket,['AWS'],7,
AWS,Receive alerts for public S3 buckets & make private,"['AWS', 'Slack']",12,
AWS,Search for & remediate public AWS S3 buckets with JupiterOne,"['AWS', 'Jira Software', 'JupiterOne']",10,
AWS,Monitor and deactivate long-lasting AWS IAM keys,['AWS'],12,Michael Tolan
AWS,Deactivate stale AWS access keys discovered by Wiz,"['AWS', 'ServiceNow', 'Slack', 'Wiz']",17,Derek Wohlfahrt
AWS,Track AWS GuardDuty alerts in Jira and remediate,"['Amazon GuardDuty', 'AWS', 'Jira Software']",18,
AWS,Chat with AWS Bedrock in Slack threads,"['AWS', 'Slack']",10,Michael Tolan
AWS,Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"['AWS', 'Elastic', 'Tines']",27,
AWS,Save Tines Story in AWS S3,['AWS'],5,
AWS,Cleanup inactive users in AWS IAM,"['AWS', 'Jira Software']",43,
AWS,Assume a new AWS role and execute commands using Boto3,['AWS'],3,
AWS,Query AWS IAM users in groups,"['AWS', 'Jira Software']",5,Shaun Finn
AWS,Remediate compliance violations with Lacework,"['AWS', 'Lacework', 'Slack']",12,
AWS,Receive & remediate SNS notifications from AWS Config,"['AWS', 'Jira Software']",43,Shaun Finn
AWS,Extract text from a PDF or image with AWS Textract,['AWS'],38,
AWS,Add JA3 client blocklist from Abuse.ch to AWS firewall rule,"['Abuse.ch', 'AWS']",17,
AWS,Identify EC2 instances missing tags and configure them with a Tines page,"['AWS', 'Slack']",10,Conor Dunne
AWS,Export recent Okta logs to AWS S3,"['AWS', 'Okta']",10,
AWS,"Create, update and run AWS Lambda functions",['AWS'],39,
AWS,Utilize AWS Lambda functions,['AWS'],1,
AWS,Automate AWS Account onboarding to Zanshin,['AWS'],12,
AWS,Query AWS CloudTrail for a user's recent API calls,['AWS'],11,
AWS,Create snapshot and isolate a compromised AWS instance,['AWS'],25,Conor Dunne
AWS,Manage temporary EC2 instances for development and testing and send notifications in Slack,"['AWS', 'Slack']",95,
AWS,Rotate AWS IAM access keys and update Tines credentials,"['AWS', 'Slack', 'Tines']",16,Michael Tolan
AWS,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"['AWS', 'Jira Software', 'Slack', 'Wiz']",36,Conor Dunne
AWS,Receive and Remediate Security Hub S3 findings from Amazon Security Lake,"['AWS', 'Jira Software']",13,
AWS,Scheduled rotation & tracking for AWS Access Keys in Drata,"['AWS', 'Drata', 'Jira Software']",29,
AWS,Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,"['AWS', 'Tines', 'Traceable.ai']",14,
AWS,Set EC2 Security Groups for an instance,['AWS'],4,Michael Tolan
AWS,Rotate AWS access keys on schedule,['AWS'],23,
AWS,Alert on AWS Backup changes and record in CodeCommit,"['AWS', 'Slack']",32,Conor Dunne
AWS,Retrieve AWS Cost Explorer data and email a CSV report,['AWS'],15,Michael Tolan
AWS,Create an identity federation between GCP and AWS,"['AWS', 'Google']",5,Marcus Hallberg at Spotify
AWS,Analyze AWS IAM policies for sensitive access permissions,['AWS'],15,Michael Tolan
AWS,Create AWS RDS databases from a backup via Slack,"['AWS', 'Slack']",47,Conor Dunne
AWS,Create an API to manage indicators of compromise,['AWS'],58,Conor Dunne
AWS,Request and approve access to new tools with an audit trail,"['AWS', 'GitHub', 'Jira Software', 'Okta', 'Slack']",31,Michael Tolan
AWS,Grant temporary console access to AWS services with Tines pages,['AWS'],20,Michael Tolan
AWS,Manage AWS Inspector findings with ServiceNow,"['AWS', 'ServiceNow']",11,
AWS,Roll back AWS EC2 instances to previous snapshots using tags,['AWS'],62,Conor Dunne
AWS,Get EC2 Security Groups for an instance,['AWS'],17,Michael Tolan
AWS,Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,"['AWS', 'GreyNoise', 'Sysdig']",11,Manuel Boira at Sysdig
AWS,"Receive New Relic alerts, create Tines cases, and restart AWS instances","['AWS', 'New Relic']",12,
AWS,Identify and resolve false positive AWS alerts in Orca,"['AWS', 'Orca Security', 'Slack']",23,
AWS,Detect and remediate malware issues in Wiz with SentinelOne and The Hive,"['AWS', 'Jira Software', 'SentinelOne', 'Wiz']",22,
AWS,Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"['AWS', 'Elastic', 'Tines']",9,
AWS,Manage AWS Macie findings with Tines cases,"['AWS', 'Tines']",17,Conor Dunne
AWS,Record container vulnerabilities from AWS Inspector in GitHub,"['AWS', 'GitHub']",8,Liam Malone
AWS,Update CrowdStrike Real Time Response script from AWS S3,"['AWS', 'CrowdStrike']",7,
AWS,Reimage AWS instance,['AWS'],25,Shaun Finn
AWS,Disable AWS User from Hunters Alert with Jira prompt,"['AWS', 'Hunters SOC Platform', 'Jira Software']",13,
AWS,Request and approve temporary AWS S3 access with pre-signed URLs,"['AWS', 'Tines']",23,
AWS,Assess potential AWS IAM security vulnerabilities with OpenAI,"['AWS', 'OpenAI']",15,
AWS,Remediate vulnerabilities identified by AWS Inspector v2,"['AWS', 'Jira Software']",16,
AWS,Send Google Workspace security logs to AWS S3,"['AWS', 'Google']",8,Michael Tolan
AWS,Isolate & remediate AWS EC2 instance based on IOC,"['AWS', 'Jira Software', 'Slack']",23,
AWS,Scan an invoice or receipt with AWS Textract,['AWS'],24,
AWS,Import Tines Story from AWS S3,['AWS'],5,
AWS,Create and manage malware labs using Terraform Cloud,"['AWS', 'HashiCorp Terraform']",47,Conor Dunne
AWS,Provision AWS and Vault access via Okta,"['AWS', 'HashiCorp', 'Okta']",25,Zach Perry at PathAI
AWS,Regularly update insecure AWS EC2 security groups,['AWS'],10,Michael Tolan
AWS,Find & remediate public AWS S3 bucket access with Anecdotes,"['Anecdotes.ai', 'AWS']",16,
AWS,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","['AWS', 'BambooHR', 'Jira Software', 'Microsoft Azure', 'Slack']",20,Michael Tolan
AWS,Manage Okta user groups and create Jira tickets via Slack,"['AWS', 'Jira Software', 'Knowbe4', 'Okta', 'Slack']",140,Sandeep Kumar
AWS,Execute commands on EC2 instances using AWS Systems Manager,['AWS'],26,Conor Dunne
AWS,Send AWS EventBridge events to Slack,"['AWS', 'Slack']",7,Conor Dunne
AWS,Routinely sync Jira issue details with DynamoDB,"['AWS', 'Jira Software']",10,Michael Tolan
AWS,Give kudos to coworkers using a Slack bot,"['AWS', 'Slack']",28,Adam Maksimuk at Navan
AWS,Verify Route 53 A records use active Elastic IPs,['AWS'],17,Michael Tolan
AWS,Generate an SBOM with AWS Inspector and add to GitHub,"['AWS', 'GitHub']",11,Liam Malone
AWS,Receive and enrich cloud root login notifications in AWS using Tines and CloudTrail logs,['AWS'],14,
AWS,Leverage AWS Bedrock for investigation help in Tines cases,['AWS'],15,Adam Maksimuk at Navan
AWS,Search for and remediate inactive AWS accounts from JupiterOne,"['AWS', 'Jira Software', 'JupiterOne', 'Slack']",14,
AWS,Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,"['AWS', 'Drata', 'Jira Software', 'Veza']",20,
AWS,Send Slack notifications when AWS budgets are exceeded and take action,"['AWS', 'Slack']",10,Michael Tolan
AWS,Use ChatGPT for triaging with internal playbooks,"['AWS', 'Google']",32,Matt Houston
AWS,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","['AWS', 'GreyNoise', 'Jira Software', 'Kubernetes', 'Sysdig', 'Tines']",40,Manuel Boira at Sysdig
AWS,Create and modify EC2 Security Groups,['AWS'],7,Michael Tolan
AWS,Search for & remediate public AWS S3 buckets with Veza,"['AWS', 'Jira Software', 'Veza']",13,
AWS,Track critical alerts for exposed AWS Keys,['AWS'],27,Jaroslaw Wojciechowski at Roche
AWS,Streamline AWS Elastic Container Registry vulnerability monitoring with Tines Cases,['AWS'],8,
AWS,Register and run container tasks in AWS ECS,['AWS'],12,
AWS,Grant temporary programmatic AWS access with Tines pages,['AWS'],26,Michael Tolan
Tines,Create Tines case from the Risk Register,['Tines'],4,Conor Dunne
Tines,Generate a Google service account credential,"['Google', 'Tines']",7,Aaron Sandow
Tines,"Ingest, analyze and store IOCs with Tines","['AbuseIPDB', 'CrowdStrike', 'GreyNoise', 'Pulsedive', 'Sublime Security', 'Tines', 'URLScan.io', 'VirusTotal']",45,Michael Tolan
Tines,Grant temporary application access,"['Jira Software', 'Okta', 'Slack', 'Tines']",30,"Shaun Finn , Rosie Halpin and Michael Tolan"
Tines,Explore Tines Cases with provided sample data,['Tines'],22,
Tines,Monitor action failures in Tines and notify via Slack,"['Slack', 'Tines']",14,Michael Tolan
Tines,Describe a Tines Story with Tines AI,['Tines'],6,Michael Tolan
Tines,Analyze and triage suspicious emails across tools and Tines cases,"['CrowdStrike', 'EmailRep', 'Tines', 'URLScan.io', 'VirusTotal']",65,Michael Tolan
Tines,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","['Elastic', 'Google', 'GreyNoise', 'Slack', 'Tines']",10,Michael Tolan
Tines,Elastic SIEM to Slack alert enrichment,"['Elastic', 'Slack', 'Tines']",106,Aaron Jewitt at Elastic
Tines,Send Tines case notifications to subscribers in Slack or Teams,"['Microsoft Teams', 'Slack', 'Tines']",26,Michael Tolan
Tines,Create just-in-time access requests and manage users,['Tines'],33,
Tines,Ingest Tines audit logs into Datadog,"['DataDog', 'Tines']",7,Aron Day
Tines,Submit and analyze PDF for IOCs with Tines,"['IOC Parser', 'Tines']",14,Michael Tolan
Tines,"Retrieve user, device, and vulnerability data in Axonius","['Axonius', 'Tines']",29,
Tines,Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"['AWS', 'Elastic', 'Tines']",27,
Tines,Utilize Tines prompts in Slack without opening a new browser tab,"['Slack', 'Tines']",8,
Tines,Create and update Tines Cases from questions in Slack,"['Slack', 'Tines']",72,Lasse Høgsholt
Tines,Create a risk register using Tines records,['Tines'],12,Conor Dunne
Tines,Export Tines records to OneDrive,"['Microsoft OneDrive', 'Tines']",4,Michael Tolan
Tines,Run a simulated phishing attack,"['BambooHR', 'GitHub', 'Tines']",22,Conor Dunne
Tines,Transfer cases between Tines case groups based on criteria,['Tines'],28,Michael Tolan
Tines,Capture product feedback and post it to Slack,"['Slack', 'Tines']",23,Tines
Tines,Analyze attack surface for an organization with Criminal IP,"['Criminal IP', 'Tines']",22,
Tines,Monitor Tines audit logs for action changes and send Slack alerts,"['Slack', 'Tines']",7,
Tines,Ingest Tines audit logs into Sumo Logic,"['Sumo Logic', 'Tines']",7,Aron Day
Tines,Monitor and remediate inactive Kandji devices with Tines Cases,"['Kandji', 'Tines']",23,Michael Tolan
Tines,Prompt a user for a response through email,['Tines'],9,
Tines,Backup Tines Stories to GitLab and notify Slack,"['GitLab', 'Slack', 'Tines']",45,Michael Tolan
Tines,Sync Tines case comments with Hunters leads,"['Hunters SOC Platform', 'Tines']",7,
Tines,Lookup user in multiple platforms,"['BambooHR', 'Okta', 'Slack', 'Tines']",11,Michael Tolan
Tines,Monitor a host's resources using playbooks in Ansible Tower,"['Ansible', 'Tines']",14,Conor Dunne
Tines,Handover Oncalls in Opsgenie with Tines Cases,"['OpsGenie', 'Slack', 'Tines']",17,
Tines,Monitor and patch Tanium machines via Tines,"['Tanium', 'Tines']",31,
Tines,Rotate AWS IAM access keys and update Tines credentials,"['AWS', 'Slack', 'Tines']",16,Michael Tolan
Tines,Sign up for a 24-hour relay using Tines Pages and Records,['Tines'],11,
Tines,Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,"['AWS', 'Tines', 'Traceable.ai']",14,
Tines,Notify recipient of quarantined email and create Tines case if opened,"['Sublime Security', 'Tines']",5,Michael Tolan
Tines,Manage long-running jobs and check job status in Workbench,['Tines'],16,
Tines,Process SpyCloud breach data and generate a case in Tines,"['SpyCloud', 'Tines']",22,Tines
Tines,Investigate and remediate multiple denied MFA push requests in Okta,"['IPQualityScore', 'Microsoft Teams', 'Okta', 'Tines', 'VirusTotal']",31,Claudia Kinsella
Tines,Track Okta Active Directory agents using Records and Microsoft Teams,"['Microsoft Teams', 'Okta', 'Tines']",11,Taylor Rainwater at Fortune Brands
Tines,Work with Tines data using the Tines API,['Tines'],49,
Tines,Manage Salesforce lead capture with Tines pages and cases,"['Salesforce', 'Tines']",46,Conor Dunne
Tines,Create and manage temporary email addresses with Tines,['Tines'],21,Michael Tolan
Tines,Monitor Tines actions with Records,['Tines'],9,Charles Himmelein at Capital Group
Tines,Backup and download logs from AWS S3 warm storage,"['Google', 'Okta', 'Tines']",45,Conor Dunne
Tines,Send SMS with Twilio if assigned to a Case in Tines,"['Microsoft', 'Tines', 'Twilio']",15,Michael Tolan
Tines,Create and manage an Email API through Tines,"['Google', 'ServiceNow', 'Tines']",33,
Tines,Paginate over the Tines API using multiple methods,['Tines'],16,Conor Dunne
Tines,Export Splunk SOAR cases to Tines,"['Splunk', 'Tines']",26,
Tines,Escalate cases to emergency resources with Twilio,"['Tines', 'Twilio']",29,Michael Tolan
Tines,Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"['AWS', 'Elastic', 'Tines']",9,
Tines,Manage AWS Macie findings with Tines cases,"['AWS', 'Tines']",17,Conor Dunne
Tines,Scan Okta logins with Spur for proxies and VPNs and raise a case in Tines,"['Okta', 'Spur', 'Tines']",20,Michael Tolan
Tines,Generate a Tines case incident response timeline,"['Notion', 'Tines']",18,Conor Dunne
Tines,Request and approve temporary AWS S3 access with pre-signed URLs,"['AWS', 'Tines']",23,
Tines,Export Tines story time saved time series data to Google Sheets,"['Google', 'Tines']",17,
Tines,Write descriptions for Tines stories using AI,['Tines'],18,Tyler Talaga at MyFitnessPal
Tines,Detect unusual user activity with Material Security,"['Material Security', 'Slack', 'Tines']",11,Material Security
Tines,Ingest Tines audit logs into Grafana Loki,"['Grafana', 'Tines']",8,Aron Day
Tines,Backup Tines Stories to Azure Blob Storage,"['Microsoft Azure', 'Tines']",25,Michael Tolan
Tines,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","['AWS', 'GreyNoise', 'Jira Software', 'Kubernetes', 'Sysdig', 'Tines']",40,Manuel Boira at Sysdig
